Designator,Mid X,Mid Y,Rotation,Layer
D1,92.86875,-90.4875,90.0,bottom
D10,111.91875,-128.5875,90.0,bottom
D11,130.84,-128.66,90.0,bottom
D12,150.13,-128.61,90.0,bottom
D2,111.91875,-90.4875,90.0,bottom
D3,126.06,-100.45,0.0,bottom
D5,92.86875,-109.5375,90.0,bottom
D6,111.91875,-109.5375,90.0,bottom
D7,130.96875,-109.5375,90.0,bottom
D8,150.01875,-109.5375,90.0,bottom
D9,92.85,-128.25,90.0,bottom
S1,82.95,-90.675,0.0,top
S10,102.235,-128.63,0.0,top
S11,121.285,-128.63,0.0,top
S12,140.6,-128.465,0.0,top
S2,102.235,-90.53,0.0,top
S3,121.285,-90.53,0.0,top
S5,83.185,-109.58,0.0,top
S6,102.235,-109.58,0.0,top
S7,121.285,-109.58,0.0,top
S8,140.335,-109.58,0.0,top
S9,83.185,-128.63,0.0,top
U1,142.08,-89.22,180.0,bottom
